연번,자료공개 여부,법 적용근거,소유자명,소유자유형,화장실명,공중화장실 구분,광역 자치단체,기초 자치단체,도로명주소,도로명 상세주소,지번주소,지번 상세주소,위도,경도,남녀공용 화장실여부,남녀 미분리 (공용)변기수,남성용-대변기수,남성용-소변기수,남성용-장애인용대변기수,남성용-장애인용소변기수,남성용-어린이용대변기수,남성용-어린이용소변기수,여성용-대변기수,여성용-장애인용 대변기수,여성용-어린이용대변기수,관리기관명,관리기관 전화번호,개방시간,설치연월,오물 처리방식,안전관리시설 설치의무 조례지정여부,비상벨 설치여부,비상벨설치장소,화장실입구 (CCTV)설치 유무,기저귀 교환대유무,기저귀교환대장소,리모델링 연월,데이터기준일자
1,Y,법제3조제7호,한국철도공사,공공기관-국가공공기관,동래역(동해남부선),개방화장실,부산광역시,동래구,부산광역시 동래구 낙민로 27,,부산광역시 동래구 낙민동 130-4,,35.205614,129.078502,N,0,4,5,1,1,1,1,10,1,1,한국철도공사,1544-7788,영업시간,2024.12.16,수세식,N,Y,여성용화장실/남성용화장실/장애인화장실,N,Y,여성용화장실/남성용화장실,,2025.6.27
2,Y,법제3조제7호,한국철도공사,공공기관-국가공공기관,안락역(동해남부선),개방화장실,부산광역시,동래구,부산광역시 동래구 안연로98번길 57,,부산광역시 동래구 안락동 201-2,,35.195907,129.101062,N,0,4,6,1,1,1,1,10,1,1,한국철도공사,1544-7788,영업시간,2024.12.16,수세식,N,Y,여성용화장실/남성용화장실/장애인화장실,N,Y,여성용화장실/남성용화장실,,2025.6.27
3,Y,법제3조제7호,한국철도공사,공공기관-국가공공기관,부산원동역(동해남부선),개방화장실,부산광역시,동래구,부산광역시 동래구 수영강서자전거길 462,,부산광역시 동래구 안락동 52-2,,35.362703,128.920499,N,0,4,4,2,2,0,0,6,2,0,한국철도공사,1544-7788,영업시간,2024.12.16,수세식,N,Y,여성용화장실/남성용화장실/장애인화장실,N,Y,여성용화장실/남성용화장실,,2025.6.27
4,Y,법제3조제8호,부산교통공단,"공공기관-지방공공기관(지방공기업,지방출자출연기관)",동래 지하철역(1호선),개방화장실,부산광역시,동래구,부산광역시 동래구 중앙대로 1324,,부산광역시 동래구 온천동 514-2,,35.205641,129.078506,N,0,5,8,1,1,0,0,12,1,0,부산교통공사,051-640-7266,05:00~24:00,1985.7.1,수세식,N,Y,여자화장실/장애인화장실,Y,Y,여자화장실,2024.10.4,2025.6.27
5,Y,법제3조제8호,부산교통공단,"공공기관-지방공공기관(지방공기업,지방출자출연기관)",명륜동 지하철역(1호선),개방화장실,부산광역시,동래구,부산광역시 동래구 중앙대로 1414,,부산광역시 동래구 온천동 489-4,,35.212551,129.079659,N,0,4,7,1,0,1,0,7,1,0,부산교통공사,051-640-7266,05:00~24:00,1985.7.1,수세식,N,Y,여자화장실/장애인화장실,Y,N,,2024.10.4,2025.6.27
6,Y,법제3조제8호,부산교통공단,"공공기관-지방공공기관(지방공기업,지방출자출연기관)",온천장 지하철역(1호선),개방화장실,부산광역시,동래구,부산광역시 동래구 중앙대로 1520,,부산광역시 동래구 온천동 1750-1,,35.220249,129.086437,N,0,7,7,1,1,0,1,9,1,0,부산교통공사,051-640-7266,05:00~24:00,1985.7.1,수세식,N,Y,여자화장실/장애인화장실,Y,Y,여자화장실,2024.10.4,2025.6.27
7,Y,법제3조제8호,부산교통공단,"공공기관-지방공공기관(지방공기업,지방출자출연기관)",사직 지하철역(1호선),개방화장실,부산광역시,동래구,부산광역시 동래구 아시아드대로 지하 153,,부산광역시 동래구 사직동 161-1,,35.198998,129.064996,N,0,3,5,1,1,0,0,8,1,0,부산교통공사,051-640-7266,05:00~24:00,2024.11.5,수세식,N,Y,여자화장실/장애인화장실,Y,Y,남자화장실/여자화장실,,2025.6.27
8,Y,법제3조제8호,부산교통공단,"공공기관-지방공공기관(지방공기업,지방출자출연기관)",미남 지하철역(1호선),개방화장실,부산광역시,동래구,부산광역시 동래구 아시아드대로 지하 232,,부산광역시 동래구 온천동 1470,,35.205503,129.068061,N,0,7,9,2,2,0,0,16,2,0,부산교통공사,051-640-7266,05:00~24:00,2024.11.5,수세식,N,Y,여자화장실/장애인화장실,Y,N,,,2025.6.27
9,Y,법제3조제8호,부산교통공단,"공공기관-지방공공기관(지방공기업,지방출자출연기관)",동래 지하철역(4호선),개방화장실,부산광역시,동래구,부산광역시 동래구 충렬대로 지하 147,,부산광역시 동래구 온천동 1486-9,,35.204834,129.077082,N,0,3,4,1,1,0,0,8,1,0,부산교통공사,051-640-7266,05:00~24:00,2024.3.11,수세식,N,Y,여자화장실/장애인화장실,Y,Y,여자화장실,,2025.6.27
10,Y,법제3조제8호,부산교통공단,"공공기관-지방공공기관(지방공기업,지방출자출연기관)",수안 지하철역(4호선),개방화장실,부산광역시,동래구,부산광역시 동래구 충렬대로 지하 223,,부산광역시 동래구 수안동 204-2,,35.201828,129.083806,N,0,4,5,1,1,0,0,10,1,0,부산교통공사,051-640-7266,05:00~24:00,2024.3.11,수세식,N,Y,여자화장실/장애인화장실,Y,Y,여자화장실,,2025.6.27
11,Y,법제3조제8호,부산교통공단,"공공기관-지방공공기관(지방공기업,지방출자출연기관)",낙민 지하철역(4호선),개방화장실,부산광역시,동래구,부산광역시 동래구 충렬대로 지하 285,,부산광역시 동래구 낙민동 205-4,,35.200254,129.090774,N,0,3,4,1,1,0,0,7,1,0,부산교통공사,051-640-7266,05:00~24:00,2024.3.11,수세식,N,Y,여자화장실/장애인화장실,Y,N,,,2025.6.27
12,Y,법제3조제8호,부산교통공단,"공공기관-지방공공기관(지방공기업,지방출자출연기관)",충렬사 지하철역(4호선),개방화장실,부산광역시,동래구,부산광역시 동래구 반송로 지하 205,,부산광역시 동래구 안락동 473,,35.199859,129.097636,N,0,3,4,1,1,0,0,7,1,0,부산교통공사,051-640-7266,05:00~24:00,2024.3.11,수세식,N,Y,여자화장실/장애인화장실,Y,N,,,2025.6.27
13,Y,법제3조제8호,부산교통공단,"공공기관-지방공공기관(지방공기업,지방출자출연기관)",명장 지하철역(4호선),개방화장실,부산광역시,동래구,부산광역시 동래구 반송로 지하 281,,부산광역시 동래구 명장동 184,,35.205143,129.101517,N,0,3,4,1,1,0,0,7,1,0,부산교통공사,051-640-7266,05:00~24:00,2024.3.11,수세식,N,Y,여자화장실/장애인화장실,Y,N,,,2025.6.27
